name,type,mana_cost,power,toughness,rarity,colors,text
Loxodon Eavesdropper,Creature — Elephant Detective,{3}{G},3,3,common,G,"When this creature enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you draw your second card each turn, this creature gets +1/+1 and gains vigilance until end of turn."
Nervous Gardener,Creature — Dryad,{1}{G},2,2,common,G,"Disguise {G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, search your library for a land card with a basic land type, reveal it, put it into your hand, then shuffle."
Pick Your Poison,Sorcery,{G},,,common,G,"Choose one —
• Each opponent sacrifices an artifact of their choice.
• Each opponent sacrifices an enchantment of their choice.
• Each opponent sacrifices a creature with flying of their choice."
Pompous Gadabout,Creature — Human Citizen,{2}{G},4,2,uncommon,G,"During your turn, this creature has hexproof.
This creature can't be blocked by creatures that don't have a name."
The Pride of Hull Clade,Legendary Creature — Crocodile Elk Turtle,{10}{G},2,15,mythic,G,"This spell costs {X} less to cast, where X is the total toughness of creatures you control.
Defender
{2}{U}{U}: Until end of turn, target creature you control gets +1/+0, gains ""Whenever this creature deals combat damage to a player, draw cards equal to its toughness,"" and can attack as though it didn't have defender."
Rope,Artifact — Clue Equipment,{G},,,uncommon,G,"Equipped creature gets +1/+2, has reach, and can't be blocked by more than one creature.
{2}, Sacrifice this Equipment: Draw a card.
Equip {3}"
Rubblebelt Maverick,Creature — Human Detective,{G},1,1,common,G,"When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
{G}, Exile this card from your graveyard: Put a +1/+1 counter on target creature. Activate only as a sorcery."
Sample Collector,Creature — Troll Detective,{2}{G},2,3,uncommon,G,"Whenever this creature attacks, you may collect evidence 3. When you do, put a +1/+1 counter on target creature you control. (To collect evidence 3, exile cards with total mana value 3 or greater from your graveyard.)"
Sharp-Eyed Rookie,Creature — Human Detective,{1}{G},2,2,rare,G,"Vigilance
Whenever a creature you control enters, if its power is greater than this creature's power or its toughness is greater than this creature's toughness, put a +1/+1 counter on this creature and investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Slime Against Humanity,Sorcery,{2}{G},,,common,G,"Create a 0/0 green Ooze creature token with trample. Put X +1/+1 counters on it, where X is two plus the total number of cards you own in exile and in your graveyard that are Oozes or are named Slime Against Humanity.
A deck can have any number of cards named Slime Against Humanity."
They Went This Way,Sorcery,{2}{G},,,common,G,"Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Topiary Panther,Creature — Plant Cat,{4}{G}{G},6,5,common,G,"Trample
Basic landcycling {1}{G} ({1}{G}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Tunnel Tipster,Creature — Mole Scout,{1}{G},1,1,common,G,"At the beginning of your end step, if a face-down creature entered the battlefield under your control this turn, put a +1/+1 counter on this creature.
{T}: Add {G}."
Undergrowth Recon,Enchantment,{1}{G}{G},,,mythic,G,"At the beginning of your upkeep, return target land card from your graveyard to the battlefield tapped."
Vengeful Creeper,Creature — Plant Elemental,{4}{G},5,5,common,G,"Disguise {5}{G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, destroy target artifact or enchantment an opponent controls."
Vitu-Ghazi Inspector,Creature — Elf Detective,{1}{G},1,3,common,G,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Reach
When this creature enters, if evidence was collected, put a +1/+1 counter on target creature and you gain 2 life."
"Agrus Kos, Spirit of Justice",Legendary Creature — Spirit Detective,{2}{R}{W},2,4,mythic,"R,W","Double strike, vigilance
Whenever Agrus Kos enters or attacks, choose up to one target creature. If it's suspected, exile it. Otherwise, suspect it. (A suspected creature has menace and can't block.)"
"Alquist Proft, Master Sleuth",Legendary Creature — Human Detective,{1}{W}{U},3,3,mythic,"U,W","Vigilance
When Alquist Proft enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
{X}{W}{U}{U}, {T}, Sacrifice a Clue: You draw X cards and gain X life."
"Anzrag, the Quake-Mole",Legendary Creature — Mole God,{2}{R}{G},8,4,mythic,"G,R","Whenever Anzrag becomes blocked, untap each creature you control. After this phase, there is an additional combat phase.
{3}{R}{R}{G}{G}: Anzrag must be blocked each combat this turn if able."
Assassin's Trophy,Instant,{B}{G},,,rare,"B,G","Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle."
"Aurelia, the Law Above",Legendary Creature — Angel,{3}{R}{W},4,4,rare,"R,W","Flying, vigilance, haste
Whenever a player attacks with three or more creatures, you draw a card.
Whenever a player attacks with five or more creatures, Aurelia deals 3 damage to each of your opponents and you gain 3 life."
Blood Spatter Analysis,Enchantment,{B}{R},,,rare,"B,R","When this enchantment enters, it deals 3 damage to target creature an opponent controls.
Whenever one or more creatures die, mill a card and put a bloodstain counter on this enchantment. Then sacrifice it if it has five or more bloodstain counters on it. When you do, return target creature card from your graveyard to your hand."
Break Out,Sorcery,{R}{G},,,uncommon,"G,R","Look at the top six cards of your library. You may reveal a creature card from among them. If that card has mana value 2 or less, you may put it onto the battlefield and it gains haste until end of turn. If you didn't put the revealed card onto the battlefield this way, put it into your hand. Put the rest on the bottom of your library in a random order."
Buried in the Garden,Enchantment — Aura,{2}{G}{W},,,uncommon,"G,W","Enchant land
When this Aura enters, exile target nonland permanent you don't control until this Aura leaves the battlefield.
Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color."
Coerced to Kill,Enchantment — Aura,{3}{U}{B},,,uncommon,"B,U","Enchant creature
You control enchanted creature.
Enchanted creature has base power and toughness 1/1, has deathtouch, and is an Assassin in addition to its other types."
Crowd-Control Warden,Creature — Centaur Soldier,{3}{G}{W},4,4,common,"G,W","As this creature enters or is turned face up, put X +1/+1 counters on it, where X is the number of other creatures you control.
Disguise {3}{G/W}{G/W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)"
Curious Cadaver,Creature — Zombie Detective,{2}{U}{B},3,1,uncommon,"B,U","Flying
When you sacrifice a Clue, return this card from your graveyard to your hand."
Deadly Complication,Sorcery,{1}{B}{R},,,uncommon,"B,R","Choose one or both —
• Destroy target creature.
• Put a +1/+1 counter on target suspected creature you control. You may have it become no longer suspected."
Detective's Satchel,Artifact,{2}{U}{R},,,uncommon,"R,U","When this artifact enters, investigate twice. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
{T}: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only if you've sacrificed an artifact this turn."
Dog Walker,Creature — Human Citizen,{R}{W},3,1,common,"R,W","Vigilance
Disguise {R/W}{R/W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, create two tapped 1/1 white Dog creature tokens."
Doppelgang,Sorcery,{X}{X}{X}{G}{U},,,rare,"G,U","For each of X target permanents, create X tokens that are copies of that permanent."
Drag the Canal,Instant,{U}{B},,,rare,"B,U","Create a 2/2 white and blue Detective creature token. If a creature died this turn, you gain 2 life, surveil 2, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
"Etrata, Deadly Fugitive",Legendary Creature — Vampire Assassin,{1}{U}{B},1,4,mythic,"B,U","Deathtouch
Face-down creatures you control have ""{2}{U}{B}: Turn this creature face up. If you can't, exile it, then you may cast the exiled card without paying its mana cost.""
Whenever an Assassin you control deals combat damage to an opponent, cloak the top card of that player's library."
Evidence Examiner,Creature — Merfolk Detective,{G}{U},2,2,uncommon,"G,U","At the beginning of combat on your turn, you may collect evidence 4. (Exile cards with total mana value 4 or greater from your graveyard.)
Whenever you collect evidence, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
"Ezrim, Agency Chief",Legendary Creature — Archon Detective,{1}{W}{W}{U}{U},5,5,rare,"U,W","Flying
When Ezrim enters, investigate twice. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
{1}, Sacrifice an artifact: Ezrim gains your choice of vigilance, lifelink, or hexproof until end of turn."
Faerie Snoop,Creature — Faerie Detective,{1}{U}{B},1,4,common,"B,U","Flying
Disguise {1}{U/B}{U/B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, look at the top two cards of your library. Put one into your hand and the other into your graveyard."
Gadget Technician,Creature — Goblin Artificer,{2}{U}{R},3,2,common,"R,U","When this creature enters or is turned face up, create a 1/1 colorless Thopter artifact creature token with flying.
Disguise {U/R}{U/R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)"
Gleaming Geardrake,Artifact Creature — Drake,{U}{R},1,1,uncommon,"R,U","Flying
When this creature enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice an artifact, put a +1/+1 counter on this creature."
Granite Witness,Artifact Creature — Gargoyle Detective,{2}{W}{U},3,2,common,"U,W","Flying, vigilance
Disguise {W/U}{W/U} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, you may tap or untap target creature."
Ill-Timed Explosion,Sorcery,{2}{U}{R},,,rare,"R,U","Draw two cards. Then you may discard two cards. When you do, Ill-Timed Explosion deals X damage to each creature, where X is the greatest mana value among cards discarded this way."
Insidious Roots,Enchantment,{B}{G},,,uncommon,"B,G","Creature tokens you control have ""{T}: Add one mana of any color.""
Whenever one or more creature cards leave your graveyard, create a 0/1 green Plant creature token, then put a +1/+1 counter on each Plant you control."
"Izoni, Center of the Web",Legendary Creature — Elf Detective,{4}{B}{G},5,4,rare,"B,G","Menace
Whenever Izoni enters or attacks, you may collect evidence 4. If you do, create two 2/1 black and green Spider creature tokens with menace and reach.
Sacrifice four tokens: Surveil 2, then draw two cards. You gain 2 life."
"Judith, Carnage Connoisseur",Legendary Creature — Human Shaman,{3}{B}{R},3,4,rare,"B,R","Whenever you cast an instant or sorcery spell, choose one —
• That spell gains deathtouch and lifelink.
• Create a 2/2 red Imp creature token with ""When this token dies, it deals 2 damage to each opponent."""
"Kaya, Spirits' Justice",Legendary Planeswalker — Kaya,{2}{W}{B},,,mythic,"B,W","Whenever one or more creatures you control and/or creature cards in your graveyard are put into exile, you may choose a creature card from among them. Until end of turn, target token you control becomes a copy of it, except it has flying.
[+2]: Surveil 2, then exile a card from a graveyard.
[+1]: Create a 1/1 white and black Spirit creature token with flying.
[−2]: Exile target creature you control. For each other player, exile up to one target creature that player controls."
"Kellan, Inquisitive Prodigy // Tail the Suspect",Legendary Creature — Human Faerie Detective,{2}{G}{U},3,4,rare,"U,G","Flying, vigilance
Whenever Kellan attacks, destroy up to one target artifact. If you controlled that permanent, draw a card."
Kraul Whipcracker,Creature — Insect Assassin,{B}{G},3,2,uncommon,"B,G","Reach
When this creature enters, destroy target token an opponent controls."
"Kylox, Visionary Inventor",Legendary Creature — Lizard Artificer,{5}{U}{R},4,4,rare,"R,U","Menace, ward {2}, haste
Whenever Kylox attacks, sacrifice any number of other creatures, then exile the top X cards of your library, where X is their total power. You may cast any number of instant and/or sorcery spells from among the exiled cards without paying their mana costs."
Kylox's Voltstrider,Artifact — Vehicle,{1}{U}{R},4,4,mythic,"R,U","Collect evidence 6: This Vehicle becomes an artifact creature until end of turn.
Whenever this Vehicle attacks, you may cast an instant or sorcery spell from among cards exiled with it. If that spell would be put into a graveyard, put it on the bottom of its owner's library instead.
Crew 2"
"Lazav, Wearer of Faces",Legendary Creature — Shapeshifter Detective,{U}{B},2,3,rare,"B,U","Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn."
Leyline of the Guildpact,Enchantment,{G/W}{G/U}{B/G}{R/G},,,rare,"B,G,R,U,W","If this card is in your opening hand, you may begin the game with it on the battlefield.
Each nonland permanent you control is all colors.
Lands you control are every basic land type in addition to their other types."
Lightning Helix,Instant,{R}{W},,,uncommon,"R,W",Lightning Helix deals 3 damage to any target and you gain 3 life.
Meddling Youths,Creature — Human Detective,{3}{R}{W},4,5,uncommon,"R,W","Haste
Whenever you attack with three or more creatures, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
"Niv-Mizzet, Guildpact",Legendary Creature — Dragon Avatar,{W}{U}{B}{R}{G},6,6,rare,"B,G,R,U,W","Flying, hexproof from multicolored
Whenever Niv-Mizzet deals combat damage to a player, it deals X damage to any target, target player draws X cards, and you gain X life, where X is the number of different color pairs among permanents you control that are exactly two colors."
No More Lies,Instant,{W}{U},,,uncommon,"U,W","Counter target spell unless its controller pays {3}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
Officious Interrogation,Instant,{W}{U},,,rare,"U,W","This spell costs {W}{U} more to cast for each target beyond the first.
Choose any number of target players. Investigate X times, where X is the total number of creatures those players control."
Private Eye,Creature — Homunculus Detective,{1}{W}{U},3,3,uncommon,"U,W","Other Detectives you control get +1/+1.
Whenever you draw your second card each turn, target Detective can't be blocked this turn."
"Rakdos, Patron of Chaos",Legendary Creature — Demon,{4}{B}{R},6,6,mythic,"B,R","Flying, trample
At the beginning of your end step, target opponent may sacrifice two nonland, nontoken permanents of their choice. If they don't, you draw two cards."
Rakish Scoundrel,Creature — Elf Rogue,{2}{B}{G},3,3,common,"B,G","Deathtouch
When this creature enters or is turned face up, target creature gains indestructible until end of turn.
Disguise {4}{B/G}{B/G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)"
Relive the Past,Sorcery,{5}{G}{W},,,rare,"G,W","Return up to one target artifact card, up to one target land card, and up to one target non-Aura enchantment card from your graveyard to the battlefield. They are 5/5 Elemental creatures in addition to their other types."
Repulsive Mutation,Instant,{X}{G}{U},,,uncommon,"G,U",Put X +1/+1 counters on target creature you control. Then counter up to one target spell unless its controller pays mana equal to the greatest power among creatures you control.
Riftburst Hellion,Creature — Hellion,{5}{R}{G},6,7,common,"G,R","Reach
Disguise {4}{R/G}{R/G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)"
Rune-Brand Juggler,Creature — Human Shaman,{B}{R},2,2,uncommon,"B,R","When this creature enters, suspect up to one target creature you control. (A suspected creature has menace and can't block.)
{3}{B}{R}, Sacrifice a suspected creature: Target creature gets -5/-5 until end of turn."
Sanguine Savior,Creature — Vampire Cleric,{1}{W}{B},2,1,common,"B,W","Flying, lifelink
Disguise {W/B}{W/B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, another target creature you control gains lifelink until end of turn."
Shady Informant,Creature — Ogre Rogue,{3}{B}{R},4,2,common,"B,R","When this creature dies, it deals 2 damage to any target.
Disguise {2}{B/R}{B/R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)"
Soul Search,Sorcery,{W}{B},,,uncommon,"B,W","Target opponent reveals their hand. You choose a nonland card from it. Exile that card. If the card's mana value is 1 or less, create a 1/1 white and black Spirit creature token with flying."
Sumala Sentry,Creature — Elf Archer,{G}{W},1,3,uncommon,"G,W","Reach
Whenever a face-down permanent you control is turned face up, put a +1/+1 counter on it and a +1/+1 counter on this creature."
"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,{1}{W}{B},2,3,rare,"B,W","Deathtouch
At the beginning of your end step, investigate for each opponent who lost life this turn.
Whenever a Clue you control is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying. This ability triggers only once each turn."
Tin Street Gossip,Creature — Lizard Advisor,{2}{R}{G},4,4,uncommon,"G,R","Vigilance
{T}: Add {R}{G}. Spend this mana only to cast face-down spells or to turn creatures face up."
"Tolsimir, Midnight's Light",Legendary Creature — Elf Scout,{2}{G}{W}{W},3,2,rare,"G,W","Lifelink
When Tolsimir enters, create Voja Fenstalker, a legendary 5/5 green and white Wolf creature token with trample.
Whenever a Wolf you control attacks, if Tolsimir attacked this combat, target creature an opponent controls blocks that Wolf this combat if able."
Treacherous Greed,Instant,{1}{W}{B},,,rare,"B,W","As an additional cost to cast this spell, sacrifice a creature that dealt damage this turn.
Draw three cards. Each opponent loses 3 life and you gain 3 life."
"Trostani, Three Whispers",Legendary Creature — Dryad,{G}{G/W}{W},4,4,mythic,"G,W","{1}{G}: Target creature gains deathtouch until end of turn.
{G/W}: Target creature gains vigilance until end of turn.
{2}{W}: Target creature gains double strike until end of turn."
Undercover Crocodelf,Creature — Elf Crocodile Detective,{4}{G}{U},5,5,common,"G,U","Whenever this creature deals combat damage to a player, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Disguise {3}{G/U}{G/U} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)"
Urgent Necropsy,Instant,{2}{B}{G},,,mythic,"B,G","As an additional cost to cast this spell, collect evidence X, where X is the total mana value of the permanents this spell targets.
Destroy up to one target artifact, up to one target creature, up to one target enchantment, and up to one target planeswalker."
"Vannifar, Evolved Enigma",Legendary Creature — Elf Ooze Wizard,{2}{G}{U},3,4,mythic,"G,U","At the beginning of combat on your turn, choose one —
• Cloak a card from your hand. (Put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.)
• Put a +1/+1 counter on each colorless creature you control."
Warleader's Call,Enchantment,{1}{R}{W},,,rare,"R,W","Creatures you control get +1/+1.
Whenever a creature you control enters, this enchantment deals 1 damage to each opponent."
Wispdrinker Vampire,Creature — Vampire Rogue,{2}{W}{B},2,4,uncommon,"B,W","Flying
Whenever another creature you control with power 2 or less enters, each opponent loses 1 life and you gain 1 life.
{5}{W}{B}: Creatures you control with power 2 or less gain deathtouch and lifelink until end of turn."
Worldsoul's Rage,Sorcery,{X}{R}{G},,,rare,"G,R",Worldsoul's Rage deals X damage to any target. Put up to X land cards from your hand and/or graveyard onto the battlefield tapped.
"Yarus, Roar of the Old Gods",Legendary Creature — Centaur Druid,{2}{R}{G},4,4,rare,"G,R","Other creatures you control have haste.
Whenever one or more face-down creatures you control deal combat damage to a player, draw a card.
Whenever a face-down creature you control dies, return it to the battlefield face down under its owner's control if it's a permanent card, then turn it face up."
Cease // Desist,Instant,{1}{B/G},,,uncommon,"B,G",Exile up to two target cards from a single graveyard. Target player gains 2 life and draws a card.
Flotsam // Jetsam,Instant,{1}{G/U},,,uncommon,"U,G","Mill three cards. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Fuss // Bother,Instant,{2}{R/W},,,uncommon,"W,R",Put a +1/+1 counter on each attacking creature you control.
Hustle // Bustle,Instant,{U/R},,,uncommon,"U,R",Target creature attacks or blocks this turn if able.
Push // Pull,Sorcery,{1}{W/B},,,uncommon,"W,B",Destroy target tapped creature.
Cryptex,Artifact,{2},,,rare,,"{T}, Collect evidence 3: Add one mana of any color. Put an unlock counter on this artifact. (To collect evidence 3, exile cards with total mana value 3 or greater from your graveyard.)
Sacrifice this artifact: Surveil 3, then draw three cards. Activate only if this artifact has five or more unlock counters on it."
Gravestone Strider,Artifact Creature — Golem,{2},1,3,common,,"{1}: Add one mana of any color. Activate only once each turn.
{2}, Exile this card from your graveyard: Exile target card from a graveyard."
Lumbering Laundry,Artifact Creature — Golem,{5},4,5,uncommon,,"{2}: Until end of turn, you may look at face-down creatures you don't control any time.
Disguise {5} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)"
Magnetic Snuffler,Artifact Creature — Construct,{5},4,4,uncommon,,"When this creature enters, return target Equipment card from your graveyard to the battlefield attached to this creature.
Whenever you sacrifice an artifact, put a +1/+1 counter on this creature."
Magnifying Glass,Artifact,{3},,,common,,"{T}: Add {C}.
{4}, {T}: Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Sanitation Automaton,Artifact Creature — Construct,{2},2,1,common,,"When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Thinking Cap,Artifact — Equipment,{1},,,common,,"Equipped creature gets +1/+2.
Equip Detective {1}
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Branch of Vitu-Ghazi,Land,,,,uncommon,,"{T}: Add {C}.
Disguise {3} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this land is turned face up, add two mana of any one color. Until end of turn, you don't lose this mana as steps and phases end."
Commercial District,Land — Mountain Forest,,,,rare,,"({T}: Add {R} or {G}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Elegant Parlor,Land — Mountain Plains,,,,rare,,"({T}: Add {R} or {W}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Escape Tunnel,Land,,,,common,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
{T}, Sacrifice this land: Target creature with power 2 or less can't be blocked this turn."
Hedge Maze,Land — Forest Island,,,,rare,,"({T}: Add {G} or {U}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Lush Portico,Land — Forest Plains,,,,rare,,"({T}: Add {G} or {W}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Meticulous Archive,Land — Plains Island,,,,rare,,"({T}: Add {W} or {U}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Public Thoroughfare,Land,,,,common,,"This land enters tapped.
When this land enters, sacrifice it unless you tap an untapped artifact or land you control.
{T}: Add one mana of any color."
Raucous Theater,Land — Swamp Mountain,,,,rare,,"({T}: Add {B} or {R}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Scene of the Crime,Artifact Land — Clue,,,,uncommon,,"This land enters tapped.
{T}: Add {C}.
{T}, Tap an untapped creature you control: Add one mana of any color.
{2}, Sacrifice this land: Draw a card."
Shadowy Backstreet,Land — Plains Swamp,,,,rare,,"({T}: Add {W} or {B}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Thundering Falls,Land — Island Mountain,,,,rare,,"({T}: Add {U} or {R}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Undercity Sewers,Land — Island Swamp,,,,rare,,"({T}: Add {U} or {B}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Underground Mortuary,Land — Swamp Forest,,,,rare,,"({T}: Add {B} or {G}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
"Melek, Reforged Researcher",Legendary Creature — Weird Detective,{3}{U}{R},*,*,mythic,"R,U","Melek's power and toughness are each equal to twice the number of instant and sorcery cards in your graveyard.
The first instant or sorcery spell you cast each turn costs {3} less to cast."
"Tomik, Wielder of Law",Legendary Creature — Human Advisor,{1}{W}{B},2,4,mythic,"B,W","Affinity for planeswalkers (This spell costs {1} less to cast for each planeswalker you control.)
Flying, vigilance
Whenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, that opponent loses 3 life and you draw a card."
"Voja, Jaws of the Conclave",Legendary Creature — Wolf,{2}{R}{G}{W},5,5,mythic,"G,R,W","Vigilance, trample, ward {3}
Whenever Voja attacks, put X +1/+1 counters on each creature you control, where X is the number of Elves you control. Draw a card for each Wolf you control."
"Beza, the Bounding Spring",Legendary Creature — Elemental Elk,{2}{W}{W},4,5,mythic,W,"When Beza enters, create a Treasure token if an opponent controls more lands than you. You gain 4 life if an opponent has more life than you. Create two 1/1 blue Fish creature tokens if an opponent controls more creatures than you. Draw a card if an opponent has more cards in hand than you."
Brave-Kin Duo,Creature — Rabbit Mouse,{W},1,1,common,W,"{1}, {T}: Target creature gets +1/+1 until end of turn. Activate only as a sorcery."
Brightblade Stoat,Creature — Weasel Soldier,{1}{W},2,2,uncommon,W,"First strike, lifelink"
Builder's Talent,Enchantment — Class,{1}{W},,,uncommon,W,"(Gain the next level as a sorcery to add its ability.)
When this Class enters, create a 0/4 white Wall creature token with defender.
{W}: Level 2
Whenever one or more noncreature, nonland permanents you control enter, put a +1/+1 counter on target creature you control.
{4}{W}: Level 3
When this Class becomes level 3, return target noncreature, nonland permanent card from your graveyard to the battlefield."
Caretaker's Talent,Enchantment — Class,{2}{W},,,rare,W,"(Gain the next level as a sorcery to add its ability.)
Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.
{W}: Level 2
When this Class becomes level 2, create a token that's a copy of target token you control.
{3}{W}: Level 3
Creature tokens you control get +2/+2."
Carrot Cake,Artifact — Food,{1}{W},,,common,W,"When this artifact enters and when you sacrifice it, create a 1/1 white Rabbit creature token and scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{2}, {T}, Sacrifice this artifact: You gain 3 life."
Crumb and Get It,Instant,{W},,,common,W,"Gift a Food (You may promise an opponent a gift as you cast this spell. If you do, they create a Food token before its other effects. It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Target creature you control gets +2/+2 until end of turn. If the gift was promised, that creature also gains indestructible until end of turn."
Dawn's Truce,Instant,{1}{W},,,rare,W,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
You and permanents you control gain hexproof until end of turn. If the gift was promised, permanents you control also gain indestructible until end of turn."
Dewdrop Cure,Sorcery,{2}{W},,,uncommon,W,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Return up to two target creature cards each with mana value 2 or less from your graveyard to the battlefield. If the gift was promised, instead return up to three target creature cards each with mana value 2 or less from your graveyard to the battlefield."
Driftgloom Coyote,Creature — Elemental Coyote,{3}{W}{W},3,4,uncommon,W,"When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield. If that creature had power 2 or less, put a +1/+1 counter on this creature."
Essence Channeler,Creature — Bat Cleric,{1}{W},2,1,rare,W,"As long as you've lost life this turn, this creature has flying and vigilance.
Whenever you gain life, put a +1/+1 counter on this creature.
When this creature dies, put its counters on target creature you control."
Feather of Flight,Enchantment — Aura,{1}{W},,,uncommon,W,"Flash
Enchant creature
When this Aura enters, draw a card.
Enchanted creature gets +1/+0 and has flying."
Flowerfoot Swordmaster,Creature — Mouse Soldier,{W},1,2,uncommon,W,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, Mice you control get +1/+0 until end of turn."
Harvestrite Host,Creature — Rabbit Citizen,{2}{W},3,3,uncommon,W,"Whenever this creature or another Rabbit you control enters, target creature you control gets +1/+0 until end of turn. Then draw a card if this is the second time this ability has resolved this turn."
Hop to It,Sorcery,{2}{W},,,uncommon,W,Create three 1/1 white Rabbit creature tokens.
Intrepid Rabbit,Creature — Rabbit Soldier,{2}{W},3,2,common,W,"Offspring {1} (You may pay an additional {1} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature enters, target creature you control gets +1/+1 until end of turn."
Jackdaw Savior,Creature — Bird Cleric,{2}{W},3,1,rare,W,"Flying
Whenever this creature or another creature you control with flying dies, return another target creature card with lesser mana value from your graveyard to the battlefield."
